認証番号,店名,住所,更新日
2517,ビストロ シャルム,福井県大野市陽明町3-401,2021-08-02
2498,ホテル フレアール和泉,福井県大野市下山63-2-24,2021-08-02
2461,一品料理 長谷川,福井県大野市桜塚町1008,2021-08-02
2436,おおもりや,福井県勝山市沢町2-7-27,2021-08-02
2434,大野食堂,福井県大野市要町3-9,2021-08-02
2427,魚中五,福井県勝山市元町2-2-3,2021-08-02
2419,喫茶 ウインディ,福井県大野市朝日35-3-5,2021-08-02
2398,あまごの宿,福井県勝山市野向町横倉56-35,2021-08-02
2381,Bunny Supertte,福井県大野市蕨生137-21-1,2021-08-02
2378,Beer Café 麒麟,福井県大飯郡おおい町本郷144-18,2021-08-02
2371,にっこり亭,福井県大野市美里町616,2021-08-02
2365,天,福井県勝山市元町1-2-3,2021-08-02
2349,御食事処 小ばやし,福井県敦賀市木崎23-6-3,2021-08-02
2333,Cat viIIage（キャットヴィレッジ）,福井県勝山市村岡町浄土寺38-12,2021-08-02
2327,IZAKAYA DAI,福井県小浜市小浜広峰1-1,2021-08-02
2324,蕎麦花亭,福井県勝山市旭町1-3-17,2021-08-02
2323,シルク du カフェ,福井県大野市元町9-22,2021-08-02
2322,食彩 ごえん,福井県小浜市小浜日吉57-2,2021-08-02
2304,手打ちそば 五郎兵衛,福井県小浜市加斗29-1-1,2021-08-02
2300,スナック ちとせ,福井県小浜市大手町9-2,2021-08-02
2278,喫茶 バロック,福井県大野市陽明町1-1109,2021-08-02
2258,マクドナルド 大野ヴィオ店,福井県大野市鍬掛17-17-1,2021-08-02
2247,お料理 やそはち,福井県越前市不老町16-15,2021-08-02
2243,千成そば,福井県敦賀市野神43-3,2021-08-02
2242,洋菜酒場 マンモス,福井県小浜市小浜酒井1-23,2021-08-02
2234,炙り厨房 こんろ家 福井小浜店,福井県小浜市駅前町2-8 おおきどビル1F,2021-08-02
2219,和洋膳 茶の花,福井県越前市押田1-4-11,2021-08-02
2217,白龍亭,福井県小浜市駅前町4-45,2021-08-02
2207,ソニョーポリ,福井県敦賀市金ケ崎町4-1 赤レンガ倉庫,2021-08-02
2204,Lounge TEXAS,福井県小浜市小浜酒井1-83,2021-08-02
2198,焼肉・海鮮 まるや,福井県大飯郡おおい町本郷154-1-8,2021-08-02
2197,お食事 伸,福井県大飯郡おおい町本郷137-7-1,2021-08-02
2192,料亭 播磨,福井県小浜市小浜香取3,2021-08-02
2185,ペンションUPO,福井県勝山市村岡町栃神谷11-6-1,2021-08-02
2180,海鮮アトム 勝山店,福井県勝山市長山町2-7-20,2021-08-02
2172,軽食喫茶 翌檜,福井県敦賀市元比田堂の上10-16,2021-08-02
2167,郷土料理 ときわ,福井県大野市元町5-18,2021-08-02
2141,レストラン ふくしん,福井県福井市高木中央1丁目205,2021-08-02
2132,しもうしろ 魚清,福井県勝山市本町2-6-3,2021-08-02
2128,レストラン 菊水,福井県大飯郡高浜町宮崎86-48-1,2021-08-02
2112,ユトリ珈琲店 アル・プラザ敦賀店,福井県敦賀市白銀町11-5,2021-08-02
2110,麺匠 かぐや,福井県敦賀市呉竹町2-5-25-1,2021-08-02
2109,勝山温泉センター 水芭蕉,福井県勝山市村岡町浄土寺30-11,2021-08-02
2108,モスバーガー 敦賀店,福井県敦賀市木崎13-28,2021-08-02
2103,カフェ・アルカンシェル,福井県小浜市府中8-23,2021-08-02
2096,ホテル 若杉本館,福井県小浜市駅前町7-16,2021-08-02
2093,大黒食堂,福井県越前市粟田部町中央2-908,2021-08-02
2089,カフェダイニング 香桜里,福井県敦賀市沓見137-8-16,2021-08-02
2088,くら・蔵,福井県大飯郡高浜町宮崎第77号1番地8 若狭高浜駅内,2021-08-02
2085,松田屋,福井県福井市日之出1-17-22,2021-08-02
2079,WAびすとろ 華むら,福井県福井市大町16字古川210-1,2021-08-02
2076,居酒屋 秀,福井県小浜市府中15-13,2021-08-02
2075,カラオケスナック 恋月夜,福井県小浜市小浜白鬚37 D-1ビル4F,2021-08-02
2072,すし勘,福井県敦賀市本町1-8-12,2021-08-02
2067,プレスクラブ,福井県大野市明倫町5-17,2021-08-02
2066,扇寿司,福井県勝山市元町1丁目14-21,2021-08-02
2065,Nightin Le ERIKO,福井県小浜市駅前町26-16-16 クロスポイント3Mビル2F,2021-08-02
2063,すうぷ屋,福井県福井市加茂河原4-1-14,2021-08-02
2058,ビリヤード チェス,福井県敦賀市野神43-17-4,2021-08-02
2051,城山荘,福井県大飯郡高浜町事代6-1-1,2021-08-02
2045,福井酒屋 五膳屋 武生店,福井県越前市上太田町2-9-15-1 カワイビル1F,2021-08-02
2044,キャッツアイ,福井県福井市城東1-15-18 第二イーストホーポ1F,2021-08-02
2040,パティスリール・タン,福井県福井市上野本町3-2101,2021-08-02
2035,焼肉処 あおしん,福井県越前市大屋48-7-3,2021-08-02
2031,居酒屋 力家,福井県越前市桂町8-15,2021-08-02
2030,サルバドニカ,福井県福井市花堂東2-508,2021-08-02
2029,たけや,福井県福井市照手1-8-18,2021-08-02
2026,ブラジル,福井県大野市陽明町2丁目209,2021-08-02
2022,天じゅ,福井県福井市高木中央1-304,2021-08-02
2019,桂馬,福井県あわら市温泉3丁目608,2021-08-02
2014,カフェ＆カジュアル居酒屋 風,福井県福井市花堂南1-5-25,2021-08-02
2012,料亭 うおとめ,福井県越前市吾妻町1-45,2021-08-02
2010,越前 海の幸 料理 はまさき,福井県越前市矢船町17-8,2021-08-02
2009,料亭 糸屋,福井県越前市国府1-11-5,2021-08-02
2004,中華居酒屋,福井県福井市飯塚29-101,2021-08-02
2000,ナイト・ラウンジ.アウル,福井県大野市弥生町7-4 サミットビル1F,2021-08-02
1999,そばはうす えびすや,福井県大野市有明町7-18,2021-08-02
1998,旬味和膳 白扇,福井県福井市成和1丁目909,2021-08-02
1996,ごはん屋 ごっつぉ,福井県勝山市滝波町5-314,2021-08-02
1993,お食事処 たけと,福井県敦賀市木崎13-7-1,2021-08-02
1992,SNACK R,福井県大野市高砂町17-2 待合室ビル2F,2021-08-02
1989,喰いものや 一心亭,福井県福井市田原2-20-12,2021-08-02
1988,スナック 華,福井県越前市北府3丁目3-27,2021-08-02
1987,カラオケ喫茶 アニー,福井県福井市西開発2-408,2021-08-02
1986,ご馳走 Lunch／Cafe あるかんしぇる,福井県坂井市丸岡町熊堂3-7-1-16 福井県産業情報センター2F,2021-08-02
1984,麺屋 ぜん,福井県大野市日吉町18-12,2021-08-02
1983,丸寿司,福井県福井市照手4-10-16,2021-08-02
1982,松原病院内喫茶,福井県福井市文京2-9-1,2021-08-02
1980,Yellow 2,福井県福井市灯明寺3-201,2021-08-02
1979,学園レストラン アンカンシェル,福井県福井市学園3丁目6-1 福井工業大学2号館B1,2021-08-02
1978,カラオケ喫茶 ももか,福井県福井市舟橋新1-1321-1,2021-08-02
1976,やよい食堂,福井県小浜市駅前町1-15,2021-08-02
1975,grow,福井県福井市福1-2915 小林ビル1F,2021-08-02
1974,カラオケ喫茶 スナック ニュー明窓,福井県福井市田原2-24-17,2021-08-02
1970,美芳屋,福井県三方郡美浜町日向67-1-95,2021-08-02
1969,歳月苑,福井県敦賀市木崎28-7-1,2021-08-02
1968,スナック ドル,福井県小浜市小浜酒井110-1,2021-08-02
1963,アミューズメントスペース まどかとひさ乃,福井県あわら市二面41-13-1,2021-08-02
1960,スナック 花番,福井県敦賀市本町1丁目5-8 シルクライトコート4H,2021-08-02
1952,はるせん 本店,福井県坂井市春江町江留上昭和4-4,2021-08-02
1948,民宿 なかむら,福井県丹生郡越前町茂原9-23-2,2021-08-02
1943,うおまさ cafe,福井県大野市明倫町9-10,2021-08-02
1940,カラオケ喫茶 みやこ,福井県福井市菅谷2-10-22,2021-08-02
1939,スナック ふみ,福井県勝山市本町2-11-12,2021-08-02
1937,越前生そば ながと,福井県鯖江市横江町2-2-305,2021-08-02
1936,喜楽居酒屋 和よし,福井県福井市丸山町1-413,2021-08-02
1935,福井県立病院 レストラン さくら,福井県福井市四ツ井2-8-1 福井県立病院2F,2021-08-02
1933,海鮮処 三国港,福井県坂井市三国町楽円53-1-2,2021-08-02
1932,(有) たけ庄,福井県坂井市三国町楽円53-1-2,2021-08-02
1931,カフェ＆ゲストハウス ナマケモノ,福井県大野市篠座町7-2,2021-08-02
1929,レストラン MarPE 美味しい学研究所,福井県越前市千福町382,2021-08-02
1928,S'Amuser,福井県坂井市三国町北本町4-5-31,2021-08-02
1927,喫茶ボストン,福井県福井市大瀬町24-8-3,2021-08-02
1925,グリル あまから,福井県福井市西谷3丁目1302番地,2021-08-02
1924,料理 大むら,福井県福井市渕4丁目2005,2021-08-02
1920,とみや,福井県福井市文京2-5-49,2021-08-02
1919,マンガ喫茶 ドリーム,福井県坂井市春江町江留中38-5,2021-08-02
1918,リストランテ カルド,福井県敦賀市木崎51-24-1,2021-08-02
1917,グラスムーン,福井県福井市花堂南2丁目12-1,2021-08-02
1914,潮鮨,福井県越前市岡本町15-2-4,2021-08-02
1912,参千番,福井県勝山市本町1-5-27,2021-08-02
1911,Your resort 光泉,福井県大飯郡高浜町西三松2-1,2021-08-02
1910,つちカフェ,福井県勝山市本町4-2-36,2021-08-02
1909,ラーメン 多弐家 勝山店,福井県勝山市沢町2丁目7-27,2021-08-02
1908,タリーズコーヒー 福井ベル店,福井県福井市花堂南2-16-1 ショッピングシティベル1F,2021-08-02
1906,8番らーめん イーザ三国店,福井県坂井市三国町三国東5丁目1-36,2021-08-02
1905,イタリアン バル マーサ,福井県福井市門前2-1213,2021-08-02
1904,NOBU morimoto,福井県あわら市春宮1-2-33,2021-08-02
1902,蔵カフェ mon,福井県鯖江市大野町29-21,2021-08-02
1901,小松屋,福井県福井市照手1-4-4,2021-08-02
1898,さくら茶屋 メガドンキホーテUNY 敦賀店,福井県敦賀市中央町1-5-5,2021-08-02
1895,花湖,福井県鯖江市杉本町18-8-3,2021-08-02
1894,明城ファーム 武生中央公園店,福井県越前市高瀬2-3 ごはんカフェはぐもぐ内,2021-08-02
1893,明城ファーム直営店,福井県越前市杉崎町3-9-1,2021-08-02
1892,ふくい駅前 いちろくらーめん,福井県福井市中央1-2-1 ハピリン2F,2021-08-02
1891,料亭 鎌仁別荘,福井県越前市天王町3-4,2021-08-02
1889,米太,福井県小浜市小浜住吉9,2021-08-02
1888,緑茶房 New green cafe,福井県小浜市小浜酒井95-2,2021-08-02
1887,十割そば いたどり,福井県南条郡南越前町板取16-12,2021-08-02
1885,チモトコーヒー プラザ萬象店,福井県敦賀市東洋町1-1,2021-08-02
1884,麺匠 麦之助,福井県福井市新田塚1-70-28,2021-08-02
1882,石勝食堂,福井県坂井市三国町南本町4-11-12,2021-08-02
1878,スシハウス 潮,福井県鯖江市丸山町1-6-22,2021-08-02
1877,まくり屋,福井県福井市西開発1-2506,2021-08-02
1875,トラットリア・デル・クアドリフォリオ,福井県越前市上太田町29-15-1 カワイビル,2021-08-02
1870,鮨一,福井県小浜市福谷9-5-1,2021-08-02
1869,そば処 あおき,福井県坂井市三国町加戸119-10-32,2021-08-02
1862,赤れんが café,福井県敦賀市金ヶ崎町4-1,2021-08-02
1859,まんざらや むっちゃん,福井県福井市新田塚町701-3 Nファインシティビル1F,2021-08-02
1857,美味食楽 八張,福井県福井市高木中央2-3502-2,2021-08-02
1856,テアトロ,福井県敦賀市平和町13-20,2021-08-02
1854,焼肉・肉料理 華炎,福井県鯖江市川島町66-27-1,2021-08-02
1853,桃花園,福井県敦賀市莇生野96-8-6,2021-08-02
1851,魚忠,福井県大野市本町2-9,2021-08-02
1850,すとーりー,福井県大飯郡高浜町和田122-27-1,2021-08-02
1846,居酒屋 むげん,福井県福井市大和田2-202 opmビル104,2021-08-02
1843,Dining☆Bar Flapper,福井県福井市高木北1-1014,2021-08-02
1839,CAFE ＆ DINING EpicDays,福井県敦賀市木崎24-5-2,2021-08-02
1838,山本鮮魚店,福井県敦賀市沢68-10,2021-08-02
1836,炭焼やきとり 一番 敦賀駅前店,福井県敦賀市白銀町4-12,2021-08-02
1833,手毬,福井県福井市福町31-1 鷲田ビル1F,2021-08-02
1832,cafe & bar HIJIRI,福井県勝山市元町1丁目11-17,2021-08-02
1831,魚白木,福井県勝山市沢町1丁目6-9,2021-08-02
1829,NY BLANCHE,福井県坂井市丸岡町一本田中34-56,2021-08-02
1828,軽食喫茶 ひまわり,福井市志比口2-4-1,2021-08-02
1826,エンゼル コーヒー,福井県坂井市丸岡町下安田26-15-2,2021-08-02
1823,絆,福井県小浜市駅前町26-16-37,2021-08-02
1821,居酒屋 よっちゃん,福井県福井市渕2-820 塚谷ビル106,2021-08-02
1819,８番らーめん 敦賀木崎店,福井県敦賀市木崎4-11-2,2021-08-02
1817,みどりや,福井県鯖江市石田上町44-10,2021-08-02
1814,ミユキ,福井県小浜市駅前町4-28,2021-08-02
1812,MⅡK,福井県小浜市小浜白鬚40,2021-08-02
1811,K's Bar ZERO,福井県敦賀市清水町1丁目18-9,2021-08-02
1809,SPEAKEASY Rouge,福井県大飯郡おおい町成和2-1-113,2021-08-02
1806,中島屋,福井県福井市勝見3丁目3-14,2021-08-02
1804,越麺屋,福井県福井市黒丸町14-48-1,2021-08-02
1799,民宿 やそべ,福井県三方郡美浜町日向10-22,2021-08-02
1797,道の駅 河野,福井県南条郡南越前町大谷86-1,2021-08-02
1795,sajispace,福井県坂井市三国町川崎54-13-6,2021-08-02
1793,スナック 沙月,福井県福井市順化1-17-25 津々美第二ビル1F,2021-08-02
1792,味処 髙良,福井県坂井市丸岡町羽崎5-6-1,2021-08-02
1786,ステーキレストラン 三好楼,福井県坂井市三国町米ケ脇4-4-16,2021-08-02
1784,勝ち飯レストラン 厨ぼうず,福井県勝山市長山町1丁目5-50,2021-08-02
1783,魚山内,福井県勝山市鹿谷町保田99-5,2021-08-02
1782,サバラン,福井県勝山市元町1-6-16,2021-08-02
1780,ヨーロッパ軒 大宮分店,福井県福井市大宮3-14-11,2021-08-02
1779,悠 珈琲店,福井県福井市文京7-9-26,2021-08-02
1778,ぷーとん・麺りん,福井県福井市花堂南2-16-1 ショッピングシティベル2F,2021-08-02
1773,玉寿司,福井県あわら市春宮1-11-23,2021-08-02
1772,喫茶＆カラオケ CoCo,福井県福井市町屋1-3-5 マルタケビル1F,2021-08-02
1771,café de rimari ,福井県福井市成和2-1103,2021-08-02
1770,備長和串 いこる,福井県坂井市三国町安島64-1-51-11,2021-08-02
1769,MEVIUS,福井県福井市順化2丁目20-13 友邦ビル3F,2021-08-02
1767,カラオケ KAZU,福井県福井市町屋1-3-5 マルタケビル1F南,2021-08-02
1765,想作居酒屋 SEI,福井県福井市学園2-8-22,2021-08-02
1764,lounge 31,福井県越前市村国3丁目17-5 You上の島ビル1-E,2021-08-02
1763,スナック つくしんぼ,福井県敦賀市清水町1丁目20-17-1 Himeビル1F,2021-08-02
1762,ミスタードーナツ 堀の宮ショップ,福井県福井市文京6-33-2,2021-08-02
1761,ミスタードーナツ パリオショップ,福井県福井市松城町12-7,2021-08-02
1760,ミスタードーナツ 福井二の宮ショップ,福井県福井市二の宮3-27-22,2021-08-02
1759,ミスタードーナツ 三国イーザショップ,福井県坂井市三国東5-1-20,2021-08-02
1758,居酒屋 かかし,福井県福井市日光2丁目8-13,2021-08-02
1755,笑人堂,福井県大野市元町5-23,2021-08-02
1754,竹 留,福井県勝山市沢町1丁目7-22,2021-08-02
1753,シェ・サカイ,福井県福井市田原1-7-10 シャトレー田原101,2021-08-02
1751,焼肉 かなや,福井県丹生郡越前町梅浦84-1-3,2021-08-02
1748,かじや,福井県坂井市春江町西長田12-1,2021-08-02
1746,喫茶 パイン,福井県敦賀市白銀町1-15,2021-08-02
1745,田嶋屋,福井県大野市新庄19-19-1,2021-08-02
1742,ヌーブ,福井県丹生郡越前町西田中4-503,2021-08-02
1736,魚島田,福井県勝山市下毛屋2-7-5,2021-08-02
1735,パセリ,福井県勝山市下毛屋2-7-5,2021-08-02
1734,スナック イーズ,福井県小浜市大手町 もりしまビル2F,2021-08-02
1733,日本料理 しくら,福井県越前市蓬莱町5-10,2021-08-02
1731,タイ料理 ナームチャイ,福井県越前市府中3-14-28,2021-08-02
1730,レスト 花門,福井県坂井市丸岡町一本田5-20-1,2021-08-02
1727,ビリオン珈琲 運動公園前店,福井県福井市若杉3丁目1705,2021-08-02
1724,肴家 奏,福井県あわら市温泉3-201 あわら温泉屋台村湯けむり横丁内,2021-08-02
1723,SABAR 鯖街道小浜田烏店,福井県小浜市田烏63-14-1,2021-08-02
1722,ろくべえ,福井県越前市国高2丁目42-7,2021-08-02
1721,藤雅,福井県鯖江市日の出町2-1 駅前ビル1F,2021-08-02
1720,ごはんや Temana,福井県鯖江市丸山町1-6-25,2021-08-02
1719,Chinese Restaurant Fun,福井県福井市花堂東2丁目414,2021-08-02
1718,さくら茶屋 バロー福井南店,福井県福井市下馬3丁目418,2021-08-02
1717,tsukiatari,福井県福井市岩倉町11-6,2021-08-02
1716,カレーハウス CoCo壱番屋 敦賀本町店,福井県敦賀市本町2-7-23,2021-08-02
1714,喫茶 アゲイン,福井県福井市町屋1-2-15,2021-08-02
1711,焼肉 大元,福井県福井市若杉4-724,2021-08-02
1710,居酒屋 AJIKO,福井県大野市水落町5-12,2021-08-02
1709,まるさん屋,福井県敦賀市白銀町6-41,2021-08-02
1708,きなり,福井県大野市明倫町11-8 ポポロ.5内,2021-08-02
1706,カフェランチ ありがたや,福井県坂井市坂井町徳分田36-14-2,2021-08-02
1700,味の王様 大野店,福井県大野市美川町9-19,2021-08-02
1697,軍鶏家 おかめ,福井県越前市妙法寺町412,2021-08-02
1696,セントピアあわら 喫茶,福井県あわら市温泉4丁目-305,2021-08-02
1695,旬彩ダイニング 舎夢,福井県福井市高木中央1-2903-1,2021-08-02
1694,旬彩ダイニング 王様の食卓,福井県越前市塚町306,2021-08-02
1693,らあめん屋 みらく,福井県敦賀市白銀町11-5 アルプラザ敦賀6F,2021-08-02
1687,AQUA,福井県大野市吉野町119-1,2021-08-02
1685,喫茶 ジョイント,福井市大願寺1丁目4-17,2021-08-02
1681,酒菜屋 どんど,福井県小浜市小浜白鬚37 D-1ビル1F,2021-08-02
1678,自家製粉 十割蕎麦 生蕎庵,福井県越前市千原町7-7,2021-08-02
1671,カラオケ喫茶 エリザベス,福井県福井市舞屋町23-2,2021-08-02
1669,カフェ レボ,福井県福井市春日3丁目916-1,2021-08-02
1668,スナック 美和,福井県大野市大和町3-34,2021-08-02
1667,ビリオン珈琲 鯖江店,福井県鯖江市小黒町3丁目901,2021-08-02
1665,スナック ハッピーナイト,福井県越前市桂町4番9号,2021-08-02
1663,ダイニング＆カラオケ てっぱん,福井県勝山市滝波町2-119,2021-08-02
1662,プラチナ,福井県小浜市小浜白鬚37 D-1ビル3F,2021-08-02
1661,民なのお宿 かわもと,福井県丹生郡越前町高佐16-18-3,2021-08-02
1660,スナック コップンカー,福井県福井市順化2丁目20番17号 セレクトシティ片町3F,2021-08-02
1657,秋吉 豊岡店,福井県福井市光陽4-3-24,2021-08-02
1652,スナック アイ,福井県越前市桂町5-9,2021-08-02
1650,荒島テラス,福井県大野市蕨生137-21-1,2021-08-02
1649,Verry Berry,福井県敦賀市清水町1丁目21-18 三宅ビル2F,2021-08-02
1641,越前そば 西村屋,福井県福井市北四ツ居2丁目1-5,2021-08-02
1640,ゲスト,福井県大飯郡高浜町湯谷1-22-3,2021-08-02
1639,ネイビーブルー,福井県大飯郡おおい町本郷154-1-6,2021-08-02
1637,菜な花,福井県福井市二の宮3丁目23-32,2021-08-02
1636,軽食 おまっとさん,福井県三方上中郡若狭町気山116-22-1,2021-08-02
1635,手打ちそば処 七間本陣,福井県大野市元町3-20,2021-08-02
1634,竹下食堂,福井県南条郡南越前町東大道28-8-7,2021-08-02
1633,福井県自治会館食堂,福井県福井市西開発4-202-1,2021-08-02
1631,キッチンラグー,福井県小浜市竜前5-13-1,2021-08-02
1629,こんぴら亭 本店,福井県福井市問屋町4-117,2021-08-02
1627,BEATO,福井県福井市文京6-21-17,2021-08-02
1626,美術館喫茶室 ニホ,福井県福井市文京3-16-1,2021-08-02
1625,和風料理 美の正,福井県敦賀市津内町2-8-8,2021-08-02
1621,魚清,福井県鯖江市北中町23-33,2021-08-02
1620,urarabi,福井県福井市順化2-12-14 プリンスビル301,2021-08-02
1618,めん亭 いろは栄,福井県大野市春日155-14-1,2021-08-02
1617,コメダ珈琲店 大野インター店,福井県大野市中保9-14-1,2021-08-02
1612,割烹 加藤,福井県越前市高瀬1-3-32,2021-08-02
1611,希望,福井県越前市国府1丁目10-25,2021-08-02
1610,寿しひろ,福井県福井市御幸3丁目9₋7,2021-08-02
1609,Cafe はぁとの葉っぱ,福井県坂井市三国町北本町2-1-20 三国駅舎内,2021-08-02
1607,焼肉 輝,福井県大野市春日174-7-6,2021-08-02
1606,喫茶室 ベル・カフェ,福井県あわら市温泉5-1502,2021-08-02
1603,カフェメルカード ミサキ,福井県小浜市大手町7-1,2021-08-02
1601,カラオケ喫茶 ゆうらん,福井県三方郡美浜町早瀬1-5,2021-08-02
1600,新バリバリ,福井県福井市光陽2-1-19,2021-08-02
1599,福彩り食堂 のむら屋,福井県勝山市元町2丁目13-32,2021-08-02
1598,お食事処 味美家,福井県福井市日之出1-17-20,2021-08-02
1594,カメハメハ大農場の農家カフェ&スイーツ,福井県あわら市温泉1丁目210,2021-08-02
1590,カフェ・ド リド,福井県福井市舟橋新1-205,2021-08-02
1586,お食事処 佳,福井県鯖江市杉本町30-14-3,2021-08-02
1585,はんなり鮨,福井県坂井市三国町加戸119-17-15,2021-08-02
1584,スナック 麗,福井県勝山市滝波町2丁目304-1,2021-08-02
1583,焼肉たむら 福井大和田店,福井県福井市大和田2-422,2021-08-02
1582,カラオケ喫茶 永遠,福井県越前市北府2丁目15-15,2021-08-02
1581,ブックカフェ ゴドー,福井県越前市府中1-9-19,2021-08-02
1580,九・九八,福井県福井市福1丁目1609,2021-08-02
1579,旬彩割烹 吟楽,福井県福井市二の宮4-46-25,2021-08-02
1578,小料理 おそめ,福井県越前市京町1-4-35,2021-08-02
1577,ORENO 燻 IBUSHI,福井県大野市有明町19-10,2021-08-02
1575,焼肉 銀月,福井県坂井市丸岡町霞町2-16-13,2021-08-02
1574,そば処 風りん亭,福井県坂井市春江町随応寺16-11 アル・プラザアミ店内,2021-08-02
1572,魚味創房 のの庵,福井県福井市文京5-13-33,2021-08-02
1571,アロマハウス,福井県福井市文京3-10-10,2021-08-02
